track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,youtube_likes,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,release_year
Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),Ice Spice,2023-04-14,USUG12300211,"2,829",26.3,220270601.0,67.0,32354134.0,356483.0,12735768.5,7832.0,3224599.0,854584.0,1,2023
This Is Me,This Is Me,Keala Settle,2017-10-27,USAT21704622,"2,852",26.2,809894358.0,66.0,622964718.0,4716659.0,84821836.0,183702.0,126042.0,3165985.0,0,2017
QUE PRETENDES,OASIS,J Balvin,2019-06-28,USUM71912318,"2,849",26.2,806817589.0,71.0,489443301.0,2894907.0,12735768.5,7832.0,4966997.0,2049245.0,0,2019
The Chicken Wing Beat,The Chicken Wing Beat,Ricky Desktop,2020-06-13,QZHN72010372,"2,842",26.2,68033539.0,60.0,88796716.0,1038952.0,20368923.0,3606.0,3224599.0,593992.0,0,2020
Nï¿½ï¿½o Vou Nam,Nï¿½ï¿½o Vou Nam,DJ Ws da Igrejinha,2024-01-19,QZZEC2322612,"2,850",26.2,73192291.0,79.0,34522299.0,269890.0,12735768.5,7832.0,3224599.0,143297.0,1,2024
Rim Tim Tagi Dim,Rim Tim Tagi Dim,Baby Lasagna,2024-01-12,AT2DY2400003,"2,848",26.2,34926866.0,75.0,50347276.0,837359.0,12735768.5,7832.0,3224599.0,151826.0,0,2024
Baila Baila Baila,Baila Baila Baila,Ozuna,2019-01-05,QM7281886206,"2,845",26.2,563326343.0,64.0,619678799.0,3452638.0,102464905.0,21059.0,3224599.0,2360573.0,0,2019
Ms. Jackson,Ms. Jackson,Pashanim,2023-08-24,DECE72302560,"2,847",26.2,91200208.0,69.0,9615800.0,108288.0,12735768.5,7832.0,3224599.0,118882.0,0,2023
Sï¿½ï¿½PER ULTRA ,Sï¿½ï¿½PER ULTRA ,Picus,2023-04-15,MXUM72300426,"2,844",26.2,14167450.0,56.0,246398948.0,1783107.0,12735768.5,7832.0,3224599.0,55529.0,0,2023
Happier (feat. Clementine Douglas),Happier (feat. Clementine Douglas) - Single,The Blessed Madonna,2024-02-02,GBAHT2301515,"2,846",26.2,30812151.0,71.0,4200741.0,25745.0,38754.0,47.0,3018379.0,428557.0,0,2024
Sin Tanto Royo,Sin Tanto Royo,Luis R Conriquez,2023-10-20,QMANG2210115,"2,853",26.2,92158242.0,67.0,73651632.0,328795.0,609823.0,333.0,3224599.0,268720.0,0,2023
Psycho,ýýýThe ReVe Festivalýýý Finale,Red Velvet,2019-12-23,KRA301900597,"2,851",26.2,471042668.0,66.0,716847469.0,9852754.0,3058867.0,7402.0,3224599.0,578357.0,0,2019
Rhyme Dust,Rhyme Dust,MK,2023-02-24,GBARL2300220,"2,843",26.2,116992202.0,65.0,7745796.0,95181.0,1299775.0,674.0,3195929.0,762785.0,0,2023
Tu Foto,Tu Foto,Q' Lokura,2024-05-16,QM6N22456323,"2,869",26.1,9244547.0,69.0,12781421.0,82897.0,12735768.5,7832.0,3224599.0,10458.0,0,2024
Loco,Loco,Justin Quiles,2021-05-13,USWL12100223,"2,864",26.1,417078369.0,61.0,22493718.0,150440.0,18046754.0,5964.0,2036108.0,2963547.0,0,2021
Siempre Pendientes,Siempre Pendientes,Peso Pluma,2022-08-15,QM6P42200426,"2,865",26.1,395739041.0,69.0,115349777.0,497323.0,31933007.0,5538.0,3224599.0,525859.0,1,2022
LALALI,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,2024-04-29,USA2P2415976,"2,858",26.1,11282322.0,67.0,23217618.0,887493.0,26409.0,24.0,3224599.0,15240.0,0,2024
Slut Me Out,Slut Me Out - Single,NLE Choppa,2022-04-15,USWB12200942,"2,867",26.1,346862697.0,67.0,28725574.0,481537.0,7754964.0,27818.0,3224599.0,814265.0,1,2022
Real Love,Real Love,Martin Garrix,2023-09-22,NLM5S2302045,"2,859",26.1,23089149.0,67.0,1508079.0,15100.0,376057.0,7832.0,3224599.0,115557.0,0,2023
A Tu Merced,YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030959,"2,856",26.1,778269101.0,70.0,357643934.0,1517496.0,26315157.0,4614.0,3224599.0,671048.0,0,2020
Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,USRC11502185,"2,857",26.1,989672356.0,76.0,713521813.0,4429142.0,12735768.5,7832.0,22910659.0,2883431.0,1,2015
Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach,2021-01-08,FR9W12028036,"2,868",26.1,385903701.0,61.0,67488485.0,440351.0,9489011.0,724.0,3224599.0,2080227.0,0,2021
She Got the Best of Me,This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,US6XF1700267,"2,862",26.1,572628080.0,79.0,358325972.0,1376330.0,343169820.0,50137.0,3224599.0,1096110.0,0,2018
Y Si Se Quiere Ir,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",2021-11-19,QZDQH2154311,"2,866",26.1,110244949.0,39.0,442934526.0,1510804.0,45568995.0,2967.0,765234.0,854584.0,0,2021
Camelot,Camelot,NLE Choppa,2019-09-13,USWB11901876,"2,854",26.1,537163250.0,69.0,299438117.0,2767933.0,33326249.0,75730.0,3224599.0,803474.0,1,2019
Stuck In The Middle,Stuck in the Middle,Tai Verdes,2020-05-29,QZHN52001856,"2,861",26.1,143421888.0,54.0,23355896.0,429911.0,4696434.0,7554.0,3224599.0,570828.0,1,2020
Step Back!,Step Back!,1nonly,2022-09-02,USWB12203894,"2,860",26.1,166436749.0,68.0,49886904.0,632581.0,3588218.0,2028.0,7521020.0,850249.0,1,2022
ýýýýýý,ýýýýýý,YOASOBI,2021-01-06,JPP302000760,"2,855",26.1,311307250.0,61.0,460930832.0,3166818.0,1427765.0,827.0,3224599.0,556492.0,0,2021
UK Rap,Split Decision,Dave,2023-06-04,GBUM72305710,"2,882",26.0,107742416.0,67.0,11323598.0,134265.0,167290.0,634.0,3224599.0,186901.0,1,2023
Yugur,Yugur - Single,Dildora Niyozova,2024-02-21,GBLPF6787759,"2,886",26.0,17009.0,67.0,66083451.0,231545.0,12735768.5,7832.0,3224599.0,37489.0,0,2024
Mi Cama,Mi Cama,KAROL G,2018-05-11,USUM71806196,"2,881",26.0,224367887.0,57.0,1159610485.0,6061105.0,17465106.0,13197.0,3224599.0,1291228.0,0,2018
Always This Same Old Song,Better Lucky Than Beautiful,Bingo Club,2023-02-24,FR9W12223053,"2,879",26.0,84198.0,15.0,295297180.0,1257935.0,12735768.5,7832.0,3224599.0,41.0,0,2023
True Love,True Love,Kanye West,2022-05-27,USQX92202485,"2,884",26.0,269363579.0,70.0,3464827.0,61192.0,7132702.0,3069.0,3224599.0,706611.0,0,2022
La Triple T,La Triple T,TINI,2022-05-05,USHR12243202,"2,877",26.0,265244748.0,58.0,219911011.0,1029281.0,383784.0,211.0,3224599.0,226814.0,0,2022
Car's Outside,YOU,James Arthur,2019-10-18,DEE861903416,"2,876",26.0,578464780.0,76.0,99386903.0,1089785.0,1516875.0,2721.0,3224599.0,2697578.0,0,2019
Northern Attitude (with Hozier),Northern Attitude (with Hozier),Noah Kahan,2023-11-10,USUM72315552,"2,874",26.0,269280631.0,67.0,4294607.0,37332.0,4995688.0,1999.0,285222.0,199947.0,1,2023
Paradise,Mylo Xyloto,Coldplay,2011-10-19,GBAYE1101143,"2,873",26.0,1291954163.0,77.0,325509002.0,2163945.0,486445533.0,445013.0,3224599.0,8726725.0,0,2011
Devil Doesnï¿½ï¿½ï¿½t B,(Un)Commentary,Alec Benjamin,2022-04-15,USAT22200712,"2,888",26.0,203417763.0,66.0,69712050.0,939096.0,43710605.0,11796.0,3224599.0,885217.0,0,2022
Vamos Aclarando Muchas Cosas - En Vivo,Vamos Aclarando Muchas Cosas (En Vivo),Codiciado,2022-09-02,QZQMB2102927,"2,887",26.0,145135597.0,65.0,226936682.0,537097.0,25569248.0,5096.0,3224599.0,486827.0,1,2022
Peru,#NAME?,Fireboy DML,2020-01-01,USUYG1403104,"2,880",26.0,316588910.0,62.0,276127028.0,1891292.0,19592967.0,8768.0,3224599.0,4534741.0,1,2020
Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) - Ao ,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) [Ao V,Guilherme & Benuto,2022-06-23,BCVV82000055,"2,871",26.0,290735048.0,60.0,296249830.0,565573.0,218.0,7832.0,3224599.0,136717.0,0,2022
Just Pretend,THE DEATH OF PEACE OF MIND,Bad Omens,2022-02-25,USYFZ2264208,"2,872",26.0,209635991.0,71.0,26381437.0,281014.0,23457347.0,11141.0,1923886.0,832908.0,0,2022
older,older,Isabel LaRosa,2023-09-15,USRC12302056,"2,870",26.0,174933335.0,67.0,13345496.0,254331.0,1110727.0,934.0,1701988.0,810245.0,0,2023
Happy Dance,Happy Dance,Elmo,2023-02-03,USRH12206010,"2,889",26.0,239850720.0,67.0,323018594.0,550826.0,90623.0,791.0,3224599.0,854584.0,0,2023
Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,2017-06-15,QZ8TY1700001,"2,878",26.0,899431434.0,72.0,345265852.0,3361539.0,86963909.0,92609.0,26708285.0,3585978.0,1,2017
Alone,Black Panther: Wakanda Forever - Music From and Inspired By,Burna Boy,2022-11-04,USHR12244832,"2,875",26.0,139783785.0,63.0,37874489.0,402994.0,3097330.0,2488.0,4553795.0,2203339.0,0,2022
Delicate,reputation,Taylor Swift,2017-11-10,USCJY1750007,"2,885",26.0,987770768.0,75.0,593364271.0,4837607.0,168036238.0,64405.0,3224599.0,3928542.0,0,2017
Labios Mordidos (with KAROL G),Labios Mordidos (with KAROL G),Kali Uchis,2023-11-24,USUM72315069,"2,883",26.0,91553012.0,67.0,48246407.0,514286.0,6723078.0,1095.0,483249.0,196870.0,0,2023
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,2021-06-16,UYB282113006,"2,892",25.9,203081704.0,59.0,409311269.0,2277370.0,19948.0,7832.0,3224599.0,373244.0,0,2021
Be My Lover (feat. La Bouche) - 2023 Mix,Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,2023-04-21,DEE862300656,"2,893",25.9,136778408.0,74.0,148269610.0,1257935.0,887691.0,205.0,1317255.0,936908.0,0,2023
Butterfly x Boom - Remix,Butterfly x Boom (Remix),LEA,2022-01-13,HKK972201900,"2,897",25.9,239850720.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,85064.0,0,2022
On The Radar Freestyle,On The Radar Freestyle,Drake,2023-07-26,USLD91749183,"2,894",25.9,86155124.0,62.0,17603372.0,566251.0,1836178.0,1081.0,3224599.0,260921.0,1,2023
Forever (feat. Fridayy),It's Only Me,Lil Baby,2022-10-14,USUG12207233,"2,906",25.9,101717995.0,61.0,28422099.0,327967.0,96992333.0,15344.0,3224599.0,1196752.0,1,2022
Bang Bang,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Jessie J,2014-01-01,USUM71409737,"2,895",25.9,1336196012.0,72.0,321959140.0,3114933.0,520899844.0,621488.0,3224599.0,6269103.0,0,2014
Reminder,Starboy,The Weeknd,2016-11-25,USUG11600998,"2,890",25.9,1015965940.0,77.0,530807213.0,3439489.0,71957016.0,35326.0,7071878.0,3869271.0,1,2016
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,2023-10-26,USUG12306687,"2,908",25.9,265932119.0,67.0,10688311.0,218021.0,2649309.0,1180.0,3224599.0,362874.0,0,2023
icantbelieveiletyougetaway,icantbelieveiletyougetaway,aldn,2024-05-31,QZMEQ2463576,"2,896",25.9,3162942.0,63.0,247697.0,13414.0,3490.0,26.0,366782.0,46746.0,0,2024
Harmless Python,INKUBATOR,Hot Lemon,2023-02-25,USCGJ2325873,"2,905",25.9,239850720.0,67.0,307570754.0,3929196.0,12735768.5,7832.0,3224599.0,854584.0,0,2023
Funk Estranho,Funk Estranho - Single,prod.67,2024-05-31,QZNWR2410858,"2,902",25.9,3589.0,15.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,589007.0,0,2024
Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214880,"2,901",25.9,370800055.0,68.0,130681979.0,909372.0,11215211.0,2417.0,3831965.0,336808.0,1,2022
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,2020-05-08,FRY682000003,"2,909",25.9,437558372.0,65.0,131588669.0,803725.0,4728071.0,5923.0,3224599.0,3913562.0,0,2020
JEALOUSY (feat. Cardi B),JEALOUSY (feat. Cardi B),Offset,2023-07-28,USUM72311135,"2,907",25.9,58058696.0,56.0,31124272.0,674922.0,18553797.0,2371.0,3224599.0,519567.0,1,2023
Clash (feat. Stormzy),Clash (feat. Stormzy),Dave,2021-07-08,GBUM72103840,"2,898",25.9,237619076.0,61.0,83880421.0,827499.0,248457.0,109.0,3224599.0,995591.0,1,2021
Salt,Salt (The Remixes),Ava Max,2019-12-12,USAT21906991,"2,891",25.9,388802420.0,62.0,267992366.0,1873271.0,36658628.0,20389.0,6142628.0,4056404.0,0,2019
Fire On Fire,Fire On Fire,Sam Smith,2018-12-21,GBUM71807533,"2,900",25.9,697834321.0,70.0,408377555.0,3474229.0,39317515.0,45186.0,3224599.0,4296434.0,0,2018
Problema,Problema,Carlos Agassi,2023-09-27,TCAHM2313718,"2,904",25.9,125395.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,380.0,1,2023
Shoong! (feat. LISA of BLACKPINK),Down to Earth,TAEYANG,2023-04-25,KSA002300722,"2,903",25.9,156994096.0,61.0,147699486.0,22687.0,959435.0,375.0,3224599.0,628505.0,0,2023
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,2019-05-29,USUG11900730,"2,931",25.8,239850720.0,58.0,137567703.0,1400248.0,74465169.0,23860.0,51398155.0,2282568.0,1,2019
Boyz In Paris (with VINAI),Boyz In Paris (with VINAI),Marnik,2023-07-28,FR9W12333643,"2,919",25.8,136709117.0,73.0,5623146.0,62157.0,12735768.5,7832.0,3224599.0,1065826.0,1,2023
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,USQX91802455,"2,929",25.8,987061577.0,73.0,118458946.0,1182389.0,18478625.0,37571.0,3224599.0,5057667.0,0,2018
Ngozi,Trench to Triumph,Crayon,2023-07-21,US23A1567556,"2,928",25.8,48581084.0,65.0,35448614.0,206819.0,21965.0,146.0,3224599.0,1291258.0,0,2023
i am not who i was,i am not who i was - Single,Chance Peï¿½,2023-09-21,QZTPX2322912,"2,910",25.8,188215390.0,67.0,3624497.0,1257935.0,9796656.0,668.0,3224599.0,222417.0,0,2023
Single Again,Single Again,Harmonize,2023-02-19,HKC371724447,"2,915",25.8,239850720.0,67.0,31741874.0,229907.0,12735768.5,7832.0,3224599.0,854584.0,0,2023
July,July,Noah Cyrus,2019-07-31,USQX91901092,"2,927",25.8,977870118.0,80.0,122949402.0,1540598.0,120010927.0,66285.0,3224599.0,1097743.0,0,2019
Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,2017-05-26,USSD11700143,"2,911",25.8,433482670.0,62.0,1080335262.0,3910533.0,83819443.0,30684.0,3224599.0,3345147.0,0,2017
Andamos Mejor,Andamos Mejor,Los Gemelos De Sinaloa,2022-01-24,USDXS2200425,"2,930",25.8,209092342.0,63.0,265900557.0,1262410.0,71876275.0,11600.0,3224599.0,443034.0,0,2022
Drag Me Down,Drag Me Down,One Direction,2015-07-31,GBHMU1500070,"2,921",25.8,1125333823.0,76.0,1124359897.0,10115690.0,12735768.5,7832.0,3224599.0,4226136.0,0,2015
Tu Turrito,Tu Turrito,Rei,2022-05-04,UYB282208022,"2,918",25.8,187818818.0,57.0,291692983.0,1352658.0,12735768.5,7832.0,3224599.0,187231.0,0,2022
greedy,greedy (Official Video),Tate McRae,2023-09-14,USRV82300987,"2,913",25.8,1256101755.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,1,2023
ýýýý ýýýýýýýýýý,ýýýý ýýýýýýýýýý,ANNA ASTI,2022-06-03,RUA1D2242027,"2,922",25.8,21081306.0,51.0,375871120.0,962835.0,12735768.5,7832.0,3224599.0,1180992.0,0,2022
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,QMJMT2002693,"2,923",25.8,609716786.0,69.0,280056.0,4102.0,42232240.0,43579.0,5318764.0,3251229.0,1,2020
Get Off The Wall,Get Off The Wall,Philly Goats,2023-06-02,USUM72307453,"2,926",25.8,8470479.0,43.0,8291412.0,112395.0,467480.0,1111.0,3224599.0,170102.0,1,2023
It'll Be Okay,It'll Be Okay,Shawn Mendes,2021-12-01,USUM72122321,"2,925",25.8,344658498.0,65.0,114495950.0,2357556.0,20569697.0,3821.0,3224599.0,1497439.0,0,2021
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)",La Pantera,2022-01-14,ES5152101308,"2,924",25.8,283228006.0,62.0,169044728.0,998010.0,12735768.5,7832.0,3224599.0,696795.0,1,2022
Stereo Hearts (feat. Adam Levine),Megahits 2012 - Die Erste,Gym Class Heroes,2011-01-01,USAT21101071,"2,916",25.8,1318596835.0,74.0,1141964928.0,11343690.0,12735768.5,7832.0,3224599.0,14060987.0,0,2011
Number 2,Number 2 / Never Last,Lil Tecca,2024-05-03,USUM72404634,"2,914",25.8,20742763.0,67.0,148269610.0,1257935.0,326922.0,83.0,721526.0,854584.0,1,2024
Tuesday (feat. Drake),Tuesday (feat. Drake),ILOVEMAKONNEN,2014-09-01,USWB11402508,"2,912",25.8,242892279.0,56.0,11099856.0,107229.0,395833412.0,482127.0,105948813.0,1544862.0,1,2014
Killshot,Killshot,Eminem,2018-09-19,USUM71814876,"2,920",25.8,415971193.0,66.0,596108481.0,7991689.0,178229694.0,110006.0,3224599.0,507667.0,1,2018
Cartï¿½ï¿½o B,Cartï¿½ï¿½o B,MC Caverinha,2023-05-11,BRRGE2300377,"2,917",25.8,143421339.0,63.0,108239669.0,1037417.0,12735768.5,7832.0,3224599.0,75108.0,0,2023
Jai Jai Shivshankar (The Unwind Mix),The Unwind Mix,Benny Dayal,2022-05-07,INY092200047,"2,945",25.7,6355.0,67.0,490930106.0,2737821.0,12735768.5,7832.0,3224599.0,854584.0,0,2022
Fuck Niggaz,Fuck Niggaz,YoungBoy Never Broke Again,2024-02-06,USUG12400657,"2,937",25.7,11393565.0,67.0,8173541.0,207558.0,2623375.0,880.0,4469045.0,169424.0,1,2024
Drama (feat. Drake),Exis,Roy Woods,2015-07-31,USWB11508706,"2,932",25.7,497826683.0,64.0,83526342.0,699022.0,12735768.5,7832.0,137005114.0,1308034.0,1,2015
Entre Nosotros,Entre Nosotros,Tiago PZK,2021-07-08,ARGT32100004,"2,935",25.7,472107491.0,63.0,221630313.0,1721936.0,1413561.0,2071.0,3224599.0,1367342.0,0,2021
Lucky You (feat. Joyner Lucas),Kamikaze,Eminem,2018-08-31,USUM71813334,"2,944",25.7,709560621.0,68.0,478624672.0,5771617.0,138039395.0,45377.0,3163011.0,1461359.0,1,2018
Casanova,Casanova,Soolking,2023-12-07,FRPZ92346900,"2,940",25.7,68705759.0,73.0,31447677.0,196411.0,12735768.5,7832.0,3224599.0,465456.0,0,2023
Fruto,en dormir sin Madrid,Bizarrap,2023-10-03,UYB282301044,"2,938",25.7,188131570.0,67.0,23791636.0,267266.0,21481.0,118.0,3224599.0,205456.0,0,2023
Bandana,Bandana,Fireboy DML,2022-07-13,USUYG1433884,"2,934",25.7,118971684.0,63.0,14545093.0,88499.0,2603667.0,748.0,3224599.0,3424214.0,1,2022
the perfect pair,Beatopia,beabadoobee,2022-07-15,GBK3W2202093,"2,936",25.7,230129740.0,72.0,34590747.0,614842.0,479950.0,1776.0,3697209.0,409448.0,0,2022
F.N.F. (Let's Go),F.N.F. (Let's Go) - Single,Hitkidd,2022-05-03,QZRD92201643,"2,948",25.7,68460285.0,54.0,107349472.0,1053855.0,12735768.5,7832.0,8529821.0,676048.0,1,2022
Falling Angel,Falling Angel,HCTM,2022-08-13,SGB502232845,"2,942",25.7,72997.0,14.0,32345.0,813.0,12735768.5,7832.0,3224599.0,10193.0,0,2022
Sofia,Sofia,Clairo,2019-07-26,US4HB1900086,"2,946",25.7,728920951.0,74.0,168855750.0,2336018.0,9827957.0,20739.0,3224599.0,1829791.0,0,2019
Speed Drive (From Barbie The Album),Speed Drive (From Barbie The Album),Charli xcx,2023-06-29,USAT22306163,"2,943",25.7,222975612.0,67.0,22571591.0,343660.0,7051002.0,3762.0,3224599.0,854584.0,0,2023
A N X I E T Y (feat. Doechii),Boy Meets World,Sleepy Hallow,2023-09-15,USRC12202650,"2,939",25.7,63607535.0,67.0,7769494.0,107161.0,2021815.0,746.0,3224599.0,288746.0,1,2023
Forever,Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,USQX91902499,"2,949",25.7,321892912.0,62.0,71926168.0,1129180.0,1993633.0,4777.0,3224599.0,2306775.0,0,2019
SLUT ME OUT 2,SLUT ME OUT 2,NLE Choppa,2024-04-12,USWB12401318,"2,947",25.7,21488710.0,72.0,148269610.0,1257935.0,702427.0,2091.0,1623733.0,116381.0,1,2024
He Ya Pyar Sajena,He Ya Pyar Sajena,TOADI,2022-09-30,SGB502283597,"2,941",25.7,3574.0,1.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,1260.0,0,2022
Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208981,"2,933",25.7,151507054.0,63.0,46312741.0,658950.0,34835337.0,5706.0,3224599.0,641828.0,1,2022
The Autotrem 1.0,The Autotrem 1.0 - Single,DJ RICK 013,2023-06-08,QM3DF2224166,"2,950",25.7,45821951.0,63.0,30710090.0,461516.0,12735768.5,7832.0,3224599.0,404939.0,0,2023
Revenge,Revenge,XXXTENTACION,2017-05-18,USUYG1142409,"2,955",25.6,1356969354.0,53.0,74514608.0,1012321.0,12735768.5,7832.0,120102744.0,854584.0,1,2017
Attention,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,USA2P2230221,"2,962",25.6,384965888.0,72.0,174618135.0,3601820.0,731316.0,1227.0,3224599.0,378304.0,0,2022
Spring Snow,"Lovely Runner, Pt. 8 (Original Soundtrack)",10CM,2024-05-14,KRA492400665,"2,968",25.6,18800716.0,73.0,7398997.0,168846.0,4319.0,12.0,3224599.0,193276.0,0,2024
Tshwala Bam (feat. S.N.E) - Remix,Tshwala Bam (feat. S.N.E) [Remix],TitoM,2024-05-12,ZA56E2416068,"2,957",25.6,13092462.0,75.0,148269610.0,1257935.0,218056.0,194.0,3224599.0,468483.0,0,2024
Halls na Lï¿½ï¿½,Halls na Lï¿½ï¿½,Kadu Martins,2023-03-24,BRTS22300004,"2,969",25.6,150516046.0,63.0,146315225.0,673901.0,12735768.5,7832.0,3224599.0,854584.0,0,2023
21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),Nathan Dawe,2022-04-29,GBAHS2200261,"2,964",25.6,305830522.0,70.0,33342986.0,195870.0,136071.0,182.0,3224599.0,1765444.0,0,2022
Yeshua (dance cruise),YESHUA (dance cruise) - Single,Dj Bentoa,2023-04-22,QZHNB2325204,"2,975",25.6,4546579.0,3.0,2359297.0,31587.0,12735768.5,7832.0,3224599.0,1189899.0,0,2023
Zaalim,Zaalim,Badshah,2024-02-24,INS182400465,"2,966",25.6,7682285.0,67.0,63874916.0,507287.0,12735768.5,7832.0,3224599.0,26541.0,0,2024
Aa,Aa,Roach Killa,2023-09-28,GBMW42301521,"2,963",25.6,22552299.0,67.0,136381379.0,1340784.0,12735768.5,7832.0,3224599.0,180207.0,0,2023
Rojo,Rojo,J Balvin,2020-02-27,USUM72001732,"2,970",25.6,606603985.0,68.0,411037239.0,3771065.0,33865711.0,7931.0,3224599.0,1148458.0,0,2020
Wonder,Wonder,Shawn Mendes,2020-10-02,USUM72018522,"2,965",25.6,595220757.0,63.0,147218521.0,3004385.0,37981648.0,14822.0,3224599.0,1620195.0,0,2020
Search Bar,Search Bar,NANI,2023-03-17,GBMJG2304014,"2,971",25.6,6610.0,67.0,291003266.0,1151687.0,12735768.5,7832.0,3224599.0,11.0,0,2023
Muï¿½ï¿½ekita (with El Alfa & JT from City Gi,Muï¿½ï¿½ekita (with El Alfa & JT from City Gi,Kali Uchis,2023-08-04,USUM72311229,"2,967",25.6,96105220.0,60.0,40245884.0,594327.0,1583340.0,1130.0,742848.0,443624.0,1,2023
Midnight City,"Hurry Up, We're Dreaming",M83,2011-01-01,GB55H1100002,"2,954",25.6,1081517243.0,72.0,82397805.0,1125466.0,593332165.0,435775.0,3224599.0,14591951.0,0,2011
Better Together,What You See Is What You Get,Luke Combs,2019-11-08,US6XF1800183,"2,953",25.6,356603747.0,69.0,177522757.0,963031.0,226949796.0,90020.0,3224599.0,1161234.0,0,2019
Sal y Perrea,42,Sech,2021-04-15,QM9WM2100010,"2,952",25.6,266525796.0,57.0,195376978.0,1221210.0,19618476.0,3164.0,3224599.0,647891.0,0,2021
IDGAF (feat. Chris Brown and Mariah the Scientist),Tee's Coney Island,Tee Grizzley,2023-11-02,USAT22311000,"2,973",25.6,20520983.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,0,2023
drunk text,drunk text,Henry Moodie,2023-01-27,GBARL2202513,"2,961",25.6,238841927.0,81.0,116840454.0,948904.0,156080.0,275.0,3224599.0,705603.0,0,2023
UNA NOCHE EN MEDELLï¿½ï¿½N - R,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,USUG12305258,"2,959",25.6,192439879.0,73.0,53961405.0,347263.0,9220102.0,1150.0,3224599.0,213623.0,1,2023
Ginza,Ginza,J Balvin,2015-06-23,MXUM71501907,"2,974",25.6,521328627.0,70.0,1067816466.0,5198462.0,221490314.0,134205.0,3224599.0,8748575.0,0,2015
Hari Hari Odhani,Hari Hari Odhani,Pawan Singh,2022-11-04,INS7A2268218,"2,960",25.6,35308201.0,58.0,344702201.0,2125668.0,12735768.5,7832.0,3224599.0,854584.0,0,2022
AM Remix,AM Remix,Nio Garcia,2021-06-24,QMBZ92185047,"2,956",25.6,571325612.0,66.0,71477120.0,340270.0,47749041.0,6786.0,3224599.0,833419.0,1,2021
Baby Me Atende,Baby Me Atende,Matheus Fernandes,2021-02-26,BRWNV2100001,"2,951",25.6,258464933.0,50.0,544475392.0,2878528.0,12735768.5,7832.0,3224599.0,289070.0,0,2021
Hello Koun,Hello Koun,Ritesh Pandey,2019-12-09,INT501947392,"2,972",25.6,4078322.0,18.0,987792547.0,3856264.0,12735768.5,7832.0,3224599.0,14707.0,0,2019
La Jeepeta,La Jeepeta,Nio Garcia,2020-01-02,QMFMF1907946,"2,958",25.6,80772450.0,45.0,863475923.0,3921294.0,6217592.0,8328.0,3224599.0,237885.0,1,2020
Jumpman,What A Time To Be Alive,Drake,2015-09-20,USCM51500300,"2,994",25.5,820380309.0,64.0,148373482.0,954330.0,610262729.0,303867.0,3224599.0,2988035.0,1,2015
Creatures in Heaven,Creatures In Heaven,Glass Animals,2024-04-03,GBUM72310164,"2,979",25.5,18564601.0,67.0,1512853.0,39971.0,1071295.0,313.0,88252.0,120498.0,0,2024
