track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,youtube_likes,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,release_year
Memory Reboot,Memory Reboot,Vï¿½,2023-01-13,QM4TW2307105,679,58.6,168087455.0,71.0,139656144.0,2054412.0,12735768.5,7832.0,3224599.0,1425007.0,0,2023
Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,USUG12300831,681,58.6,922010059.0,50.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,0,2023
Build a Bitch,Build a Bitch,Bella Poarch,2021-05-14,USWB12101016,682,58.5,452542081.0,63.0,575228171.0,13396525.0,33608983.0,29714.0,3224599.0,2055722.0,1,2021
"Natanael Cano: Bzrp Music Sessions, Vol. 59","Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap,2024-04-02,UYB282401007,683,58.4,126619484.0,79.0,55418429.0,1848749.0,434955.0,158.0,3224599.0,854584.0,1,2024
400 Degreez,400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400062,687,58.3,11610247.0,67.0,148269610.0,1257935.0,34195379.0,82220.0,3224599.0,854584.0,1,2024
Y LLORO,$AD BOYZ 4 LIFE II,Junior H,2023-10-05,QZ9QQ2300724,685,58.3,363816146.0,80.0,189158687.0,768324.0,5987571.0,4056.0,211195.0,711146.0,1,2023
Streets,Hot Pink,Doja Cat,2019-11-07,USRC11903460,686,58.3,1056939084.0,75.0,702463556.0,8269225.0,14397719.0,52318.0,34660570.0,6716450.0,1,2019
How We Roll,How We Roll,Ciara,2023-08-04,QZS7J2357291,684,58.3,36007719.0,53.0,66350451.0,833138.0,7222274.0,5483.0,3224599.0,790290.0,1,2023
"Satranga (From ""Animal"")","Satranga (From ""Animal"") - Single",Arijit Singh,2023-10-28,INS182303075,690,58.2,214352397.0,76.0,240762258.0,2003670.0,12735768.5,7832.0,3224599.0,239890.0,0,2023
My Universe,My Universe,Coldplay,2021-09-24,GBAYE2100952,688,58.2,1269607301.0,71.0,518912320.0,17373598.0,12735768.5,7832.0,3224599.0,854584.0,0,2021
Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),Young Nudy,2023-02-27,USRC12300570,689,58.2,157446814.0,64.0,120010894.0,962140.0,10357719.0,19626.0,11578434.0,1447731.0,1,2023
"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2021-10-08,USRC12101071,691,58.1,248749251.0,61.0,318002064.0,2874323.0,36588286.0,25612.0,44234133.0,856723.0,1,2021
Thinking Out Loud,Piano Moods: 50 Songs,Ed Sheeran,2017-03-28,ITD541500554,693,58.0,473328.0,7.0,3777105479.0,15214286.0,12735768.5,7832.0,3224599.0,854584.0,0,2017
O Me Voy O Te Vas,O Me Voy O Te Vas,Natanael Cano,2023-10-11,QZ9QQ2300812,692,58.0,226233020.0,77.0,232513811.0,1040989.0,1963739.0,1229.0,3224599.0,345895.0,0,2023
Punterï¿½,Punterï¿½,Shakira,2024-03-21,USQX92400523,697,57.9,44416140.0,67.0,37587721.0,723249.0,3631361.0,545.0,10952.0,457125.0,0,2024
Slime You Out (feat. SZA),Slime You Out,Drake,2023-09-15,USUG12306064,696,57.9,202169670.0,67.0,4800069.0,76129.0,14611155.0,5724.0,6744659.0,791868.0,1,2023
Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,USUM72021500,695,57.9,805133547.0,67.0,357556016.0,9930750.0,96649436.0,32412.0,3224599.0,3468671.0,0,2020
Wish You The Best,Wish You The Best,Lewis Capaldi,2023-04-14,DEUM72206010,701,57.8,245513981.0,71.0,99697837.0,1375852.0,28435231.0,2496.0,1268766.0,2064588.0,0,2023
New Rules,Summer Beats 2018,Dua Lipa,2018-07-20,TRAA31800147,698,57.8,239850720.0,67.0,3090849766.0,18323060.0,12735768.5,7832.0,3224599.0,854584.0,0,2018
Back On 74,Back On 74,Jungle,2023-07-28,QM4TX2336316,702,57.8,212122034.0,80.0,49794673.0,997193.0,1369652.0,5027.0,3224599.0,1510651.0,0,2023
"Welcome To Rosas - From ""Wish""","Welcome To Rosas (From ""Wish"")",Ariana DeBose,2023-11-01,USWD12328240,699,57.8,12375503.0,67.0,4496444.0,25217.0,381323.0,897.0,3224599.0,13348.0,0,2023
Por Mi Mexico (Remix),"Por Mi Mï¿½ï¿½xico (Remix) [feat. Dharius, C-Kan, MC Davo & Neto Peï¿½ï¿½a] ",Lefty Sm,2023-08-25,QM3DF2219446,703,57.7,98795736.0,67.0,236734405.0,1554966.0,17670634.0,3877.0,3224599.0,312223.0,1,2023
THIS YEAR (Blessings),THIS YEAR (Blessings) (feat. Ehis 'D' Greatest) - Single,Victor Thompson,2023-01-04,QZFYY2339108,705,57.7,134208327.0,61.0,93787998.0,947363.0,545726.0,1284.0,3224599.0,2334472.0,0,2023
"Abrarï¿½ï¿½ï¿½s Entry | Jamal Kudu ""ANIMAL"")","Abrarï¿½ï¿½ï¿½s Entry | Jamal Kudu ""ANIMAL"")",Harshavardhan Rameshwar,2023-12-06,INS182303500,704,57.7,56885072.0,67.0,221866727.0,3018127.0,12735768.5,7832.0,3224599.0,1025493.0,0,2023
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,USUG12104402,708,57.6,819136167.0,75.0,173633158.0,1399290.0,44693468.0,12411.0,3224599.0,1942002.0,1,2021
Mayores,Mayores,Becky G,2017-07-14,USRC11701270,709,57.6,709559454.0,66.0,2660240919.0,9901740.0,146731599.0,104443.0,3224599.0,3920423.0,0,2017
CHORRITO PA LAS ANIMAS,SIXDO,Feid,2022-12-02,USUM72222460,707,57.6,558560568.0,75.0,228242847.0,852495.0,3253358.0,1094.0,3224599.0,815675.0,1,2022
New Divide,Papercuts,Linkin Park,2024-04-12,USWB12400679,706,57.6,340239513.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,64127.0,2651682.0,0,2024
White Horse,White Horse,Chris Stapleton,2023-07-21,USUG12300484,711,57.5,155443055.0,68.0,38442511.0,291339.0,62798148.0,19200.0,897873.0,753888.0,0,2023
Ojitos Rojos,Ojitos Rojos - Single,Grupo Frontera,2023-07-21,DGA062368509,712,57.5,221287566.0,70.0,291073034.0,1012209.0,3248335.0,999.0,3224599.0,465957.0,0,2023
La Morocha,La Morocha,Luck Ra,2023-07-07,CLPP22300045,710,57.5,161280933.0,66.0,289561672.0,967949.0,1482.0,31.0,3224599.0,214253.0,0,2023
Who Is Your Guy?,Who Is Your Guy?,Spyro,2022-11-25,QZW9L2260049,714,57.4,21236593.0,52.0,173334286.0,660871.0,343018.0,499.0,3224599.0,1091071.0,0,2022
You Right,You Right,Doja Cat,2021-06-24,USRC12100544,713,57.4,831648193.0,72.0,379404120.0,3991416.0,130728919.0,27906.0,3224599.0,4190926.0,1,2021
